Job Title,Company,Location,Remote,Relocation,Compensation,tags
Sr Full Stack Java developer,emaratech FZ LLC,"Dubai, United Arab Emirates",,Paid relocation,$50k - 52k,"java,microservices,angular,design-patterns,spring"
Infrastructure Engineer,MessageBird,"Amsterdam, Netherlands",,Paid relocation,,"cloud,amazon-web-services,kubernetes,linux"
.NET Core and TypeScript Developer,Bilbayt,No office location,Remote,,€41k - 46k,"azure,asp.net-core,typescript,azure-devops,c#"
Front-end Engineer (React),MessageBird,"Amsterdam, Netherlands",,Paid relocation,,"reactjs,javascript,css,git,package-management"
"Data Scientist - Pricing, Data & Analytics, Group Digital",IKEA,"Vintrie, Sweden",,Paid relocation,,"python,machine-learning,data-science"
Senior Software Engineer using Ruby (fullstack) working on an exciting algorithm,Funding Circle,"London, UK",,Paid relocation,Equity,"reactjs,ruby,tdd,amazon-web-services,javascript"
Experienced Site Reliability Engineer,Theorem,No office location,Remote,,,"chef,terraform,amazon-cloudformation,docker,prometheus,sysadmin"
Experienced Backend Engineer - TypeScript,Theorem,No office location,Remote,,,"typescript,reactjs"
DevOps Engineer - Linux (m/f/x),HeavenHR,"Berlin, Deutschland",,Paid relocation,€60k - 80k,"linux,jenkins,bash,docker,pfsense"
Site Reliability Engineer,Choco,"Berlin, Germany",,Paid relocation,"€55k - 75k

                         | 
Equity","amazon-web-services,amazon-cloudformation,aws-codepipeline,aws-codebuild,sysadmin"
Engineering Manager (m/w/x),Doctolib GmbH,"Berlin, Germany",,Paid relocation,,"ruby-on-rails,javascript,reactjs"
Cybersecurity Officer - P4,UNOPS,"Valencia, Spain",,,,"security,cloud"
Senior Javascript Engineer,Auth0,No office location,Remote,,,"javascript,reactjs,node.js,angular,jest"
"Software Engineer, IAM Authorization",Auth0,No office location,Remote,,,"node.js,security,postgresql"
"Senior Full Stack Engineer (multiple openings) - Remote, USA ONLY",SocialChorus,No office location,Remote,,"$100k - 175k

                         | 
Equity","ruby,ruby-on-rails,javascript"
Sr Full Stack .NET developer,emaratech FZ LLC,"Dubai, United Arab Emirates",,Paid relocation,$50k - 52k,"c#,asp.net,asp.net-mvc,asp.net-web-api,wcf"
Computational Senior Staff Scientist,Wellcome Sanger Institute,"Cambridge, UK",,Paid relocation,£44k - 50k,"r,python,perl,unix,scripting"
Data Science Course Mentor,Thinkful Inc.,No office location,Remote,,$10k - 30k,"sql,python"
Data Analytics Course Mentor,Thinkful Inc.,No office location,Remote,,,"python,sql,tableau"
Sr. Business Analyst for RPA,"eTeki, Inc.",No office location,Remote,,,"rpa,project-management"
Front-End Software Developer - [Remote] - [United States],Crisp,No office location,Remote,,,"typescript,reactjs,javascript,graphql"
Data Scientist - [Remote] - [United States],Crisp,No office location,Remote,,,"data-science,time-series,forecasting,python,pandas"
BI Engineer,TaxJar,No office location,Remote,,,"postgresql,ruby,tableau,google-sheets,amazon-athena"
iOS Developer,komoot,No office location,Remote,,,"ios,objective-c,swift,watch-os,iphone"
Scrum Master (m|f|d),ExB Research & Development GmbH,"Leipzig, Deutschland",,Paid relocation,,"scrum,agile,scrumboard,jira"
Senior Full stack Engineer,FareHarbor,"Amsterdam, Netherlands",,Paid relocation,€65k - 80k,"javascript,angularjs,python"
Software Developer C++ (R&D Team),Code Careers,"'s Hertogenbosch, Netherlands",,Paid relocation,€50k - 70k,"c++,c,rtos,c#"
"Senior Software Engineer, Backend",Hotjar,No office location,Remote,,€70k - 90k,"python,postgresql"
Java Developer,Nexient,"Columbus, OH",,,,"java,j2ee,object-oriented-design"
Senior Net Developer,Nexient,"Columbus, OH",,,,"c#,asp.net,mvc,lambda"
Senior Product Manager  -  Elastic Cloud - US East or EMEA,Elastic,No office location,Remote,,Equity,"elasticsearch,cloud,saas,product-management"
Senior Full Stack RoR Developer,Airhost Singapore Pte Ltd,Singapore,,,SGD 60k - 100k,"ruby-on-rails,postgresql,git,less,javascript"
Senior Solutions Developer,FHLB Dallas,"Irving, TX",On-site and limited remote,Paid relocation,,"soap,sql,rest,javascript,c#"
Full stack fejlesztő,Intland Software GmbH,"Budapest, Hungary",On-site and limited remote,,,"java,javascript,jquery,spring,html"
(Senior) Full Stack Developer - PHP/JS (m/f/d),Chal-Tec GmbH,"Berlin, Germany",,,,"php,symfony,javascript,smarty,e-commerce"
Senior Devops Engineer (d/f/m),AUTO1,"Berlin, Germany",,Paid relocation,,"ansible,docker,terraform,salt-stack,amazon-web-services"
Systems Reliability Engineer - Open Location Platform (m/f/x),HERE,"Berlin, Germany",On-site and limited remote,Paid relocation,,"continuous-integration,kubernetes,docker,python,aws"
Senior Python Developer (Remote),X-Team,No office location,Remote,,,"python,django,flask"
Principal Java developer,Jumbo Supermarkets,"Veghel, Netherlands",,Paid relocation,€55k - 70k,"java,unit-testing,microservices,amazon-web-services,continuous-deployment"
Lead/Senior Full Stack Developer,Chatham Financial,"Littleton, CO",,Paid relocation,,"angularjs,agile,c#"
Senior Full-Stack Developer,SONECT,"Zürich, Switzerland",,,,"javascript,html5,css3,node.js,express"
Porto and Lisbon IT opportunity,devolute,No office location,Remote,,,"ror,nodejs,react,django,python"
"Senior Software Engineer, Frontend (Remote)",Hotjar,No office location,Remote,,€70k - 90k,"angularjs,agile,javascript"
golang - DevOps Engineer,"Grassroots Technologies, Inc",No office location,Remote,,$156k - 264k,"go,linux,jenkins,devops,http,sysadmin"
Data Science Team Lead,Dé VakantieDiscounter,"Amsterdam, Netherlands",,Paid relocation,,"python,google-cloud-platform,data-science,apache-spark,apache-kafka"
Software Engineer,Picnic,"Amsterdam, Netherlands",,Paid relocation,,"java,python,amazon-web-services,elasticsearch,postgresql"
DevOps / SRE (Remote role),Platform.sh,No office location,Remote,,,"python,symfony2,azure"
Software Engineer,Criteo,"Paris, France",,Paid relocation,€50k - 90k,"c#,scala,typescript"
React Software Engineer,"Songspace, INC",No office location,Remote,,,"reactjs,javascript,react-native,css"
Full-Stack Developer (m/f/x),Zizoo,"Berlin, Germany",,Paid relocation,€40k - 55k,"php,symfony2,reactjs,javascript,vue.js"
Sql Server Database Administrator,GTN Technical Staffing and Consulting,"San Diego, CA",,,,"sysadmin,sql,sql-server"
Python Developer,Babich & Associates,"Dallas, TX",,,,"python,saas,testing"
PC Technician,US Tech Solutions,"San Diego, CA",,,,"sysadmin,windows,networking"
Director of Platform Engineering,Shiseido,"Austin, TX",,,,"amazon-web-services,java,azure"
