Job,Job Link,Company,Company Link,Salary Range,Contract Type
Corporate Security Manager,https://www.fuzu.com/jobs/corporate-security-manager-british-american-tobacco,British American Tobacco,https://www.fuzu.com/company/british-american-tobacco,Confidential,Permanent
Marketing Security Manager,https://www.fuzu.com/jobs/marketing-security-manager-british-american-tobacco,British American Tobacco,https://www.fuzu.com/company/british-american-tobacco,Confidential,Permanent
Government Affairs Manager - New Categories,https://www.fuzu.com/jobs/government-affairs-manager-new-categories-british-american-tobacco,British American Tobacco,https://www.fuzu.com/company/british-american-tobacco,Confidential,Permanent
Process Operator,https://www.fuzu.com/jobs/process-operator-british-american-tobacco,British American Tobacco,https://www.fuzu.com/company/british-american-tobacco,Confidential,Permanent
Assistant Legal Counsel,https://www.fuzu.com/jobs/assistant-legal-counsel-british-american-tobacco-da2746cd,British American Tobacco,https://www.fuzu.com/company/british-american-tobacco,Confidential,Permanent
"HR Business Partner, Indian Ocean Islands & Tanzania",https://www.fuzu.com/jobs/hr-business-partner-indian-ocean-islands-tanzania-british-american-tobacco,British American Tobacco,https://www.fuzu.com/company/british-american-tobacco,Confidential,Permanent
Legal Counsel: Litigation & Regulatory Counselling,https://www.fuzu.com/jobs/legal-counsel-litigation-regulatory-counselling-british-american-tobacco,British American Tobacco,https://www.fuzu.com/company/british-american-tobacco,Confidential,Permanent
Leaf Security Manager,https://www.fuzu.com/jobs/leaf-security-manager-british-american-tobacco,British American Tobacco,https://www.fuzu.com/company/british-american-tobacco,Confidential,Permanent
Global Graduate Trainee Operations,https://www.fuzu.com/jobs/global-graduate-trainee-operations-british-american-tobacco-aadeb3a0,British American Tobacco,https://www.fuzu.com/company/british-american-tobacco,Confidential,Permanent
Associate Director - FP/RMNCH,https://www.fuzu.com/jobs/associate-director-fp-rmnch-fhi-360,Fhi 360,https://www.fuzu.com/company/fhi-360,Confidential,Permanent
Plant Operator,https://www.fuzu.com/jobs/plant-operator-wartsila-east-africa-ltd-61076541,Wartsila East Africa Ltd.,https://www.fuzu.com/company/wartsila-east-africa-ltd,Confidential,Permanent
"Startups Development Manager Internship in Nairobi, Kenya",https://www.fuzu.com/jobs/startups-development-manager-internship-in-nairobi-kenya-microsoft,Interns4Afrika,https://www.fuzu.com/company/microsoft,Confidential,Temporary
Software Engineer Position,https://www.fuzu.com/jobs/software-engineer-position-career-directions-ltd,Career Directions Ltd,https://www.fuzu.com/company/career-directions-ltd,Confidential,Permanent
Sales Manager – Motorcycle,https://www.fuzu.com/jobs/sales-manager-motorcycle-summit-recruitment-search,Summit Recruitment & Search,https://www.fuzu.com/company/summit-recruitment-search,Confidential,Permanent
Social Media Manager/ Marketer,https://www.fuzu.com/jobs/social-media-manager-marketer-safe-drive-tours-and-travel-ltd-b170e145,Safe Drive Tours and Travel Ltd,https://www.fuzu.com/company/safe-drive-tours-and-travel-ltd,"from KSh15,000",Permanent
Construction Equipment Sales Executive,https://www.fuzu.com/jobs/construction-equipment-sales-executive-recours-four-kenya-consultants-limited,Recours Four Kenya Consultants Limited,https://www.fuzu.com/company/recours-four-kenya-consultants-limited,Confidential,Permanent
Security Solution Sales Manager,https://www.fuzu.com/jobs/security-solution-sales-manager-recours-four-kenya-consultants-limited,Recours Four Kenya Consultants Limited,https://www.fuzu.com/company/recours-four-kenya-consultants-limited,Confidential,Permanent
Retail Supervisor in Nakuru,https://www.fuzu.com/jobs/retail-supervisor-in-nakuru-bbox-limited,BBOX LIMITED,https://www.fuzu.com/company/bbox-limited,Confidential,Permanent
Retail Supervisor in Nanyuki,https://www.fuzu.com/jobs/retail-supervisor-in-nanyuki-bbox-limited,BBOX LIMITED,https://www.fuzu.com/company/bbox-limited,Confidential,Permanent
Shop Manager in Nakuru,https://www.fuzu.com/jobs/shop-manager-in-nakuru-bbox-limited,BBOX LIMITED,https://www.fuzu.com/company/bbox-limited,Confidential,Permanent
Brand Ambassador,https://www.fuzu.com/jobs/brand-ambassador-infinity-gym-and-spa,Infinity Gym and Spa,https://www.fuzu.com/company/infinity-gym-and-spa,"KSh25,000 - KSh30,000",Permanent
Shop Manager in Nanyuki,https://www.fuzu.com/jobs/shop-manager-in-nanyuki-bbox-limited,BBOX LIMITED,https://www.fuzu.com/company/bbox-limited,Confidential,Permanent
Barista,https://www.fuzu.com/jobs/barista-infinity-gym-and-spa,Infinity Gym and Spa,https://www.fuzu.com/company/infinity-gym-and-spa,Confidential,Permanent
Waiter,https://www.fuzu.com/jobs/waiter-infinity-gym-and-spa,Infinity Gym and Spa,https://www.fuzu.com/company/infinity-gym-and-spa,Confidential,Permanent
Cosmetics Sales Executive.,https://www.fuzu.com/jobs/cosmetics-sales-executive-summit-recruitment-search,Summit Recruitment & Search,https://www.fuzu.com/company/summit-recruitment-search,Confidential,Permanent
Chef,https://www.fuzu.com/jobs/chef-infinity-gym-and-spa,Infinity Gym and Spa,https://www.fuzu.com/company/infinity-gym-and-spa,Confidential,Permanent
Porter,https://www.fuzu.com/jobs/porter-infinity-gym-and-spa,Infinity Gym and Spa,https://www.fuzu.com/company/infinity-gym-and-spa,Confidential,Permanent
Cleaner,https://www.fuzu.com/jobs/cleaner-infinity-gym-and-spa,Infinity Gym and Spa,https://www.fuzu.com/company/infinity-gym-and-spa,Confidential,Permanent
Cashier,https://www.fuzu.com/jobs/cashier-infinity-gym-and-spa,Infinity Gym and Spa,https://www.fuzu.com/company/infinity-gym-and-spa,Confidential,Permanent
Accountant,https://www.fuzu.com/jobs/accountant-infinity-gym-and-spa,Infinity Gym and Spa,https://www.fuzu.com/company/infinity-gym-and-spa,Confidential,Permanent
