Job Title,Company,Location,Salary,Job_link,Company Link
Senior Frontend Engineer,Magalix,Cairo Governorate •,$11k – $18k,https://angel.co/company/magalix/jobs/547288-senior-frontend-engineer,https://angel.co/company/magalix
Cloud Infrastructure Engineer,Magalix,Cairo •,$15k – $25k,https://angel.co/company/magalix/jobs/564437-cloud-infrastructure-engineer,https://angel.co/company/magalix
Hiring Software Developers,Dalitso Consulting,South Africa •,$4k – $4k,https://angel.co/company/dalitso-consulting-1/jobs/438087-hiring-software-developers,https://angel.co/company/dalitso-consulting-1
Executive Assistant To CEO,Lupark DC,Lagos •,$1k – $2k,https://angel.co/company/lupark/jobs/576638-executive-assistant-to-ceo,https://angel.co/company/lupark
Back-end mobile developer,Fluxbie,Lag,No salary • 15.0% – 25.0%,https://angel.co/company/fluxbie/jobs/491228-back-end-mobile-developer,https://angel.co/company/fluxbie
CTO,FitBuddies,Cairo Governorate,No salary • 10.0% – 20.0%,https://angel.co/company/fitbuddies/jobs/521679-cto,https://angel.co/company/fitbuddies
Content Writer,Buy Quality PLR,Cape Town •,$1k – $2k,https://angel.co/company/buy-quality-plr/jobs/582185-content-writer,https://angel.co/company/buy-quality-plr
Content developer,fakaza,Durban •,$1k – $2k,https://angel.co/company/fakaza/jobs/610144-content-developer,https://angel.co/company/fakaza
Head of Software Product Management,M-KOPA,Kenya •,$1k – $2k,https://angel.co/company/m-kopa-1/jobs/586901-head-of-software-product-management,https://angel.co/company/m-kopa-1
Head of Marketing,Kodegenic,igeri,No salary • 10.0% – 15.0%,https://angel.co/company/cynocrypt/jobs/423520-head-of-marketing,https://angel.co/company/cynocrypt
Engineering Fellow at our Global Portfolio Ventures,Alter Global,South Africa • Philippines • Bangladesh •,$12k – $18k,https://angel.co/company/alter-global/jobs/666332-engineering-fellow-at-our-global-portfolio-ventures,https://angel.co/company/alter-global
Customer Service Intern,Cornerston Staffing,Lagos •,No salary,https://angel.co/company/cornerston-staffing-1/jobs/575029-customer-service-intern,https://angel.co/company/cornerston-staffing-1
Head of Exploration,United Nations Development Programme (UNDP) South Africa,Pretoria •,$52k – $65k,https://angel.co/company/united-nations-development-programme-undp-south-africa/jobs/506696-head-of-exploration,https://angel.co/company/united-nations-development-programme-undp-south-africa
Head of Solutions Mapping,United Nations Development Programme (UNDP) South Africa,Pretoria •,$52k – $65k,https://angel.co/company/united-nations-development-programme-undp-south-africa/jobs/506699-head-of-solutions-mapping,https://angel.co/company/united-nations-development-programme-undp-south-africa
Head of Experimentation,United Nations Development Programme (UNDP) South Africa,Pretoria •,$52k – $65k,https://angel.co/company/united-nations-development-programme-undp-south-africa/jobs/506703-head-of-experimentation,https://angel.co/company/united-nations-development-programme-undp-south-africa
Content Creator Needed,Latest Phone Zone,Nigeria • Uk • Usa •,$1k – $3k,https://angel.co/company/latest-phone-zone-1/jobs/626527-content-creator-needed,https://angel.co/company/latest-phone-zone-1
Software Engineer,Digi Pesa Technologies,Nairobi,$85k – $130k • 0.1% – 0.5%,https://angel.co/company/digi-pesa-technologies/jobs/453326-software-engineer,https://angel.co/company/digi-pesa-technologies
Mobile Engineer,Digi Pesa Technologies,Nairobi,$80k – $100k • 0.1% – 0.5%,https://angel.co/company/digi-pesa-technologies/jobs/453334-mobile-engineer,https://angel.co/company/digi-pesa-technologies
Ecommerce Manager,Sabi Collections,Lagos •,$5k – $10k,https://angel.co/company/sabi-collections/jobs/558023-ecommerce-manager,https://angel.co/company/sabi-collections
Customer Service Representative,Sabi Collections,Lagos •,$2k – $3k,https://angel.co/company/sabi-collections/jobs/558103-customer-service-representative,https://angel.co/company/sabi-collections
